ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783330033,iotprojectmpc-n8n-1,4.80%,429.2MiB,2.355GiB,17.80%
1783330033,iotprojectmpc-postgres-1,1.28%,60.5MiB,2.355GiB,2.51%
1783330037,iotprojectmpc-n8n-1,7.16%,428.8MiB,2.355GiB,17.79%
1783330037,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330041,iotprojectmpc-n8n-1,4.37%,429.3MiB,2.355GiB,17.81%
1783330041,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330045,iotprojectmpc-n8n-1,5.24%,429.6MiB,2.355GiB,17.82%
1783330045,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330050,iotprojectmpc-n8n-1,4.77%,429.8MiB,2.355GiB,17.83%
1783330050,iotprojectmpc-postgres-1,0.00%,60.51MiB,2.355GiB,2.51%
1783330054,iotprojectmpc-n8n-1,4.31%,429.9MiB,2.355GiB,17.83%
1783330054,iotprojectmpc-postgres-1,0.01%,60.5MiB,2.355GiB,2.51%
1783330058,iotprojectmpc-n8n-1,4.34%,430.1MiB,2.355GiB,17.84%
1783330058,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330063,iotprojectmpc-n8n-1,4.38%,430.5MiB,2.355GiB,17.85%
1783330063,iotprojectmpc-postgres-1,0.89%,60.5MiB,2.355GiB,2.51%
1783330067,iotprojectmpc-n8n-1,5.09%,430.8MiB,2.355GiB,17.87%
1783330067,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330072,iotprojectmpc-n8n-1,4.93%,430.9MiB,2.355GiB,17.87%
1783330072,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330076,iotprojectmpc-n8n-1,4.19%,431.3MiB,2.355GiB,17.89%
1783330076,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330081,iotprojectmpc-n8n-1,4.72%,431.7MiB,2.355GiB,17.90%
1783330081,iotprojectmpc-postgres-1,0.00%,60.51MiB,2.355GiB,2.51%
1783330085,iotprojectmpc-n8n-1,4.25%,431.8MiB,2.355GiB,17.91%
1783330085,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330090,iotprojectmpc-n8n-1,4.62%,431.6MiB,2.355GiB,17.90%
1783330090,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330094,iotprojectmpc-n8n-1,5.02%,432.4MiB,2.355GiB,17.93%
1783330094,iotprojectmpc-postgres-1,0.98%,60.5MiB,2.355GiB,2.51%
1783330098,iotprojectmpc-n8n-1,4.62%,432.4MiB,2.355GiB,17.94%
1783330098,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330103,iotprojectmpc-n8n-1,4.56%,432.4MiB,2.355GiB,17.93%
1783330103,iotprojectmpc-postgres-1,1.11%,60.51MiB,2.355GiB,2.51%
1783330107,iotprojectmpc-n8n-1,4.19%,432.6MiB,2.355GiB,17.94%
1783330107,iotprojectmpc-postgres-1,0.00%,60.51MiB,2.355GiB,2.51%
1783330112,iotprojectmpc-n8n-1,4.89%,432.9MiB,2.355GiB,17.95%
1783330112,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330116,iotprojectmpc-n8n-1,5.02%,433.5MiB,2.355GiB,17.98%
1783330116,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330121,iotprojectmpc-n8n-1,3.59%,433.2MiB,2.355GiB,17.97%
1783330121,iotprojectmpc-postgres-1,0.00%,60.51MiB,2.355GiB,2.51%
1783330125,iotprojectmpc-n8n-1,7.50%,433.6MiB,2.355GiB,17.98%
1783330125,iotprojectmpc-postgres-1,2.68%,60.51MiB,2.355GiB,2.51%
1783330129,iotprojectmpc-n8n-1,3.76%,434MiB,2.355GiB,18.00%
1783330129,iotprojectmpc-postgres-1,1.16%,60.51MiB,2.355GiB,2.51%
1783330134,iotprojectmpc-n8n-1,72.69%,433.9MiB,2.355GiB,17.99%
1783330134,iotprojectmpc-postgres-1,1.44%,60.54MiB,2.355GiB,2.51%
1783330138,iotprojectmpc-n8n-1,5.32%,433.8MiB,2.355GiB,17.99%
1783330138,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330143,iotprojectmpc-n8n-1,3.59%,434.2MiB,2.355GiB,18.01%
1783330143,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330147,iotprojectmpc-n8n-1,3.45%,434.1MiB,2.355GiB,18.01%
1783330147,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330152,iotprojectmpc-n8n-1,4.11%,434MiB,2.355GiB,18.00%
1783330152,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330157,iotprojectmpc-n8n-1,4.32%,434.3MiB,2.355GiB,18.01%
1783330157,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330161,iotprojectmpc-n8n-1,5.21%,433.8MiB,2.355GiB,17.99%
1783330161,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330166,iotprojectmpc-n8n-1,4.63%,433.9MiB,2.355GiB,18.00%
1783330166,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330170,iotprojectmpc-n8n-1,3.94%,434.3MiB,2.355GiB,18.01%
1783330170,iotprojectmpc-postgres-1,0.01%,62.27MiB,2.355GiB,2.58%
1783330175,iotprojectmpc-n8n-1,3.61%,434.1MiB,2.355GiB,18.00%
1783330175,iotprojectmpc-postgres-1,1.27%,62.27MiB,2.355GiB,2.58%
1783330179,iotprojectmpc-n8n-1,4.98%,434.2MiB,2.355GiB,18.01%
1783330179,iotprojectmpc-postgres-1,1.10%,60.5MiB,2.355GiB,2.51%
1783330183,iotprojectmpc-n8n-1,3.75%,434.3MiB,2.355GiB,18.01%
1783330183,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330188,iotprojectmpc-n8n-1,3.68%,434.3MiB,2.355GiB,18.01%
1783330188,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330192,iotprojectmpc-n8n-1,4.31%,434.3MiB,2.355GiB,18.01%
1783330192,iotprojectmpc-postgres-1,0.03%,60.51MiB,2.355GiB,2.51%
1783330197,iotprojectmpc-n8n-1,4.76%,434.6MiB,2.355GiB,18.03%
1783330197,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330201,iotprojectmpc-n8n-1,3.62%,435.1MiB,2.355GiB,18.04%
1783330201,iotprojectmpc-postgres-1,0.00%,60.51MiB,2.355GiB,2.51%
1783330206,iotprojectmpc-n8n-1,3.85%,439.6MiB,2.355GiB,18.23%
1783330206,iotprojectmpc-postgres-1,0.01%,60.5MiB,2.355GiB,2.51%
1783330210,iotprojectmpc-n8n-1,3.72%,441.2MiB,2.355GiB,18.30%
1783330210,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330215,iotprojectmpc-n8n-1,4.61%,443MiB,2.355GiB,18.37%
1783330215,iotprojectmpc-postgres-1,1.23%,60.51MiB,2.355GiB,2.51%
1783330219,iotprojectmpc-n8n-1,5.75%,447.1MiB,2.355GiB,18.54%
1783330219,iotprojectmpc-postgres-1,1.08%,60.5MiB,2.355GiB,2.51%
1783330224,iotprojectmpc-n8n-1,4.42%,447.2MiB,2.355GiB,18.55%
1783330224,iotprojectmpc-postgres-1,0.00%,60.5MiB,2.355GiB,2.51%
1783330229,iotprojectmpc-n8n-1,3.98%,447MiB,2.355GiB,18.54%
1783330229,iotprojectmpc-postgres-1,0.00%,60.51MiB,2.355GiB,2.51%
1783330233,iotprojectmpc-n8n-1,3.99%,447.2MiB,2.355GiB,18.55%
1783330233,iotprojectmpc-postgres-1,0.00%,60.52MiB,2.355GiB,2.51%
1783330238,iotprojectmpc-n8n-1,4.56%,447MiB,2.355GiB,18.54%
