ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783367631,iotprojectmpc-n8n-1,1.98%,415.7MiB,2.355GiB,17.24%
1783367631,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367636,iotprojectmpc-n8n-1,1.28%,415.9MiB,2.355GiB,17.25%
1783367636,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367641,iotprojectmpc-n8n-1,2.12%,416MiB,2.355GiB,17.25%
1783367641,iotprojectmpc-postgres-1,3.11%,32.66MiB,2.355GiB,1.35%
1783367644,iotprojectmpc-n8n-1,2.94%,415.8MiB,2.355GiB,17.24%
1783367644,iotprojectmpc-postgres-1,0.04%,32.66MiB,2.355GiB,1.35%
1783367649,iotprojectmpc-n8n-1,1.48%,415.9MiB,2.355GiB,17.25%
1783367649,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367653,iotprojectmpc-n8n-1,2.10%,415.7MiB,2.355GiB,17.24%
1783367653,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367657,iotprojectmpc-n8n-1,0.49%,416MiB,2.355GiB,17.25%
1783367657,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367662,iotprojectmpc-n8n-1,10.19%,416MiB,2.355GiB,17.25%
1783367662,iotprojectmpc-postgres-1,1.15%,32.66MiB,2.355GiB,1.35%
1783367666,iotprojectmpc-n8n-1,1.15%,415.8MiB,2.355GiB,17.24%
1783367666,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367671,iotprojectmpc-n8n-1,2.17%,416.1MiB,2.355GiB,17.26%
1783367671,iotprojectmpc-postgres-1,0.13%,32.66MiB,2.355GiB,1.35%
1783367675,iotprojectmpc-n8n-1,1.13%,415.9MiB,2.355GiB,17.25%
1783367675,iotprojectmpc-postgres-1,0.02%,32.66MiB,2.355GiB,1.35%
1783367680,iotprojectmpc-n8n-1,0.80%,416.2MiB,2.355GiB,17.26%
1783367680,iotprojectmpc-postgres-1,1.49%,32.66MiB,2.355GiB,1.35%
1783367685,iotprojectmpc-n8n-1,1.39%,416.1MiB,2.355GiB,17.26%
1783367685,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367689,iotprojectmpc-n8n-1,1.12%,416.3MiB,2.355GiB,17.27%
1783367689,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783367693,iotprojectmpc-n8n-1,2.41%,415.9MiB,2.355GiB,17.25%
1783367693,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367697,iotprojectmpc-n8n-1,2.36%,415.9MiB,2.355GiB,17.25%
1783367697,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367702,iotprojectmpc-n8n-1,1.02%,415.8MiB,2.355GiB,17.25%
1783367702,iotprojectmpc-postgres-1,2.27%,32.76MiB,2.355GiB,1.36%
1783367706,iotprojectmpc-n8n-1,1.41%,416.3MiB,2.355GiB,17.27%
1783367706,iotprojectmpc-postgres-1,2.64%,32.67MiB,2.355GiB,1.35%
1783367710,iotprojectmpc-n8n-1,0.94%,415.9MiB,2.355GiB,17.25%
1783367710,iotprojectmpc-postgres-1,0.01%,32.66MiB,2.355GiB,1.35%
1783367714,iotprojectmpc-n8n-1,19.95%,416.7MiB,2.355GiB,17.28%
1783367714,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367717,iotprojectmpc-n8n-1,0.91%,416.9MiB,2.355GiB,17.29%
1783367717,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783367722,iotprojectmpc-n8n-1,0.26%,416.9MiB,2.355GiB,17.29%
1783367722,iotprojectmpc-postgres-1,2.04%,32.66MiB,2.355GiB,1.35%
1783367726,iotprojectmpc-n8n-1,7.19%,417.7MiB,2.355GiB,17.32%
1783367726,iotprojectmpc-postgres-1,1.76%,32.76MiB,2.355GiB,1.36%
1783367731,iotprojectmpc-n8n-1,0.45%,417.4MiB,2.355GiB,17.31%
1783367731,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367736,iotprojectmpc-n8n-1,8.42%,417.9MiB,2.355GiB,17.33%
1783367736,iotprojectmpc-postgres-1,0.01%,32.66MiB,2.355GiB,1.35%
1783367740,iotprojectmpc-n8n-1,0.58%,418.8MiB,2.355GiB,17.37%
1783367740,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367745,iotprojectmpc-n8n-1,1.58%,418.5MiB,2.355GiB,17.36%
1783367745,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367749,iotprojectmpc-n8n-1,1.83%,418.4MiB,2.355GiB,17.35%
1783367749,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783367754,iotprojectmpc-n8n-1,1.01%,418.8MiB,2.355GiB,17.37%
1783367754,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367759,iotprojectmpc-n8n-1,0.97%,418.8MiB,2.355GiB,17.37%
1783367759,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367763,iotprojectmpc-n8n-1,0.97%,418.6MiB,2.355GiB,17.36%
1783367763,iotprojectmpc-postgres-1,0.01%,32.66MiB,2.355GiB,1.35%
1783367768,iotprojectmpc-n8n-1,13.46%,419.1MiB,2.355GiB,17.38%
1783367768,iotprojectmpc-postgres-1,1.46%,32.66MiB,2.355GiB,1.35%
1783367772,iotprojectmpc-n8n-1,0.43%,418.9MiB,2.355GiB,17.37%
1783367772,iotprojectmpc-postgres-1,2.88%,34.45MiB,2.355GiB,1.43%
1783367777,iotprojectmpc-n8n-1,1.88%,418.9MiB,2.355GiB,17.37%
1783367777,iotprojectmpc-postgres-1,0.82%,32.68MiB,2.355GiB,1.36%
1783367782,iotprojectmpc-n8n-1,1.09%,418.9MiB,2.355GiB,17.37%
1783367782,iotprojectmpc-postgres-1,2.53%,32.66MiB,2.355GiB,1.35%
1783367786,iotprojectmpc-n8n-1,0.37%,419.7MiB,2.355GiB,17.41%
1783367786,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367791,iotprojectmpc-n8n-1,0.14%,419.7MiB,2.355GiB,17.41%
1783367791,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367795,iotprojectmpc-n8n-1,0.12%,419.8MiB,2.355GiB,17.41%
1783367795,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367800,iotprojectmpc-n8n-1,0.61%,419.8MiB,2.355GiB,17.41%
1783367800,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783367804,iotprojectmpc-n8n-1,3.03%,420MiB,2.355GiB,17.42%
1783367804,iotprojectmpc-postgres-1,0.01%,32.66MiB,2.355GiB,1.35%
1783367808,iotprojectmpc-n8n-1,1.42%,420.1MiB,2.355GiB,17.42%
1783367808,iotprojectmpc-postgres-1,1.55%,32.66MiB,2.355GiB,1.35%
1783367813,iotprojectmpc-n8n-1,1.45%,419.9MiB,2.355GiB,17.42%
1783367813,iotprojectmpc-postgres-1,1.40%,32.66MiB,2.355GiB,1.35%
1783367816,iotprojectmpc-n8n-1,1.49%,420MiB,2.355GiB,17.42%
1783367816,iotprojectmpc-postgres-1,0.03%,32.66MiB,2.355GiB,1.35%
1783367821,iotprojectmpc-n8n-1,1.42%,420.3MiB,2.355GiB,17.43%
1783367821,iotprojectmpc-postgres-1,0.02%,32.66MiB,2.355GiB,1.35%
1783367824,iotprojectmpc-n8n-1,1.63%,420.1MiB,2.355GiB,17.42%
1783367824,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367829,iotprojectmpc-n8n-1,1.61%,420.1MiB,2.355GiB,17.42%
1783367829,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367834,iotprojectmpc-n8n-1,1.40%,420.1MiB,2.355GiB,17.42%
1783367834,iotprojectmpc-postgres-1,0.02%,32.66MiB,2.355GiB,1.35%
1783367838,iotprojectmpc-n8n-1,0.91%,419.9MiB,2.355GiB,17.41%
1783367838,iotprojectmpc-postgres-1,3.82%,32.67MiB,2.355GiB,1.35%
1783367842,iotprojectmpc-n8n-1,1.04%,419.9MiB,2.355GiB,17.41%
1783367842,iotprojectmpc-postgres-1,1.63%,33.82MiB,2.355GiB,1.40%
1783367847,iotprojectmpc-n8n-1,1.31%,420.1MiB,2.355GiB,17.42%
1783367847,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367850,iotprojectmpc-n8n-1,1.03%,420.1MiB,2.355GiB,17.42%
1783367850,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367855,iotprojectmpc-n8n-1,2.38%,420.3MiB,2.355GiB,17.43%
1783367855,iotprojectmpc-postgres-1,0.17%,32.66MiB,2.355GiB,1.35%
1783367860,iotprojectmpc-n8n-1,2.53%,420.3MiB,2.355GiB,17.43%
1783367860,iotprojectmpc-postgres-1,0.00%,32.67MiB,2.355GiB,1.35%
1783367864,iotprojectmpc-n8n-1,1.14%,420.1MiB,2.355GiB,17.42%
1783367864,iotprojectmpc-postgres-1,2.36%,32.66MiB,2.355GiB,1.35%
1783367869,iotprojectmpc-n8n-1,0.34%,420.3MiB,2.355GiB,17.43%
1783367869,iotprojectmpc-postgres-1,2.46%,32.66MiB,2.355GiB,1.35%
1783367873,iotprojectmpc-n8n-1,2.75%,420.3MiB,2.355GiB,17.43%
1783367873,iotprojectmpc-postgres-1,0.00%,32.66MiB,2.355GiB,1.35%
1783367877,iotprojectmpc-n8n-1,2.38%,421MiB,2.355GiB,17.46%
1783367877,iotprojectmpc-postgres-1,1.83%,34.45MiB,2.355GiB,1.43%
1783367882,iotprojectmpc-n8n-1,0.89%,420.6MiB,2.355GiB,17.45%
1783367882,iotprojectmpc-postgres-1,0.00%,34.45MiB,2.355GiB,1.43%
1783367885,iotprojectmpc-n8n-1,4.68%,420.6MiB,2.355GiB,17.45%
1783367885,iotprojectmpc-postgres-1,0.00%,34.45MiB,2.355GiB,1.43%
1783367889,iotprojectmpc-n8n-1,1.44%,420.9MiB,2.355GiB,17.46%
1783367889,iotprojectmpc-postgres-1,1.58%,32.69MiB,2.355GiB,1.36%
1783367893,iotprojectmpc-n8n-1,2.89%,421MiB,2.355GiB,17.46%
1783367893,iotprojectmpc-postgres-1,0.03%,32.66MiB,2.355GiB,1.35%
1783367897,iotprojectmpc-n8n-1,1.19%,420.9MiB,2.355GiB,17.46%
1783367897,iotprojectmpc-postgres-1,0.00%,34.45MiB,2.355GiB,1.43%
1783367902,iotprojectmpc-n8n-1,1.65%,420.7MiB,2.355GiB,17.45%
