ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783331679,iotprojectmpc-n8n-1,4.82%,416.5MiB,2.355GiB,17.28%
1783331679,iotprojectmpc-postgres-1,0.00%,60.62MiB,2.355GiB,2.51%
1783331684,iotprojectmpc-n8n-1,3.27%,416.3MiB,2.355GiB,17.27%
1783331684,iotprojectmpc-postgres-1,4.33%,60.62MiB,2.355GiB,2.51%
1783331689,iotprojectmpc-n8n-1,1.51%,416.6MiB,2.355GiB,17.28%
1783331689,iotprojectmpc-postgres-1,4.36%,60.64MiB,2.355GiB,2.51%
1783331693,iotprojectmpc-n8n-1,2.31%,416.6MiB,2.355GiB,17.28%
1783331693,iotprojectmpc-postgres-1,7.34%,60.61MiB,2.355GiB,2.51%
1783331697,iotprojectmpc-n8n-1,1.57%,416.4MiB,2.355GiB,17.27%
1783331697,iotprojectmpc-postgres-1,0.03%,60.61MiB,2.355GiB,2.51%
1783331701,iotprojectmpc-n8n-1,0.64%,416.4MiB,2.355GiB,17.27%
1783331701,iotprojectmpc-postgres-1,0.05%,60.62MiB,2.355GiB,2.51%
1783331706,iotprojectmpc-n8n-1,2.15%,417MiB,2.355GiB,17.30%
1783331706,iotprojectmpc-postgres-1,0.03%,60.62MiB,2.355GiB,2.51%
1783331710,iotprojectmpc-n8n-1,0.47%,416.8MiB,2.355GiB,17.29%
1783331710,iotprojectmpc-postgres-1,0.00%,60.61MiB,2.355GiB,2.51%
1783331715,iotprojectmpc-n8n-1,0.55%,417MiB,2.355GiB,17.30%
1783331715,iotprojectmpc-postgres-1,6.47%,60.8MiB,2.355GiB,2.52%
1783331719,iotprojectmpc-n8n-1,0.30%,416.8MiB,2.355GiB,17.29%
1783331719,iotprojectmpc-postgres-1,3.57%,60.67MiB,2.355GiB,2.52%
1783331723,iotprojectmpc-n8n-1,0.62%,416.8MiB,2.355GiB,17.29%
1783331723,iotprojectmpc-postgres-1,0.03%,60.61MiB,2.355GiB,2.51%
1783331727,iotprojectmpc-n8n-1,0.80%,416.9MiB,2.355GiB,17.29%
1783331727,iotprojectmpc-postgres-1,0.00%,60.61MiB,2.355GiB,2.51%
1783331732,iotprojectmpc-n8n-1,0.62%,417.4MiB,2.355GiB,17.31%
1783331732,iotprojectmpc-postgres-1,0.00%,60.62MiB,2.355GiB,2.51%
1783331736,iotprojectmpc-n8n-1,1.12%,417.9MiB,2.355GiB,17.33%
1783331736,iotprojectmpc-postgres-1,0.00%,60.64MiB,2.355GiB,2.52%
1783331740,iotprojectmpc-n8n-1,30.43%,417.5MiB,2.355GiB,17.32%
1783331740,iotprojectmpc-postgres-1,3.22%,60.61MiB,2.355GiB,2.51%
1783331745,iotprojectmpc-n8n-1,2.87%,417.6MiB,2.355GiB,17.32%
1783331745,iotprojectmpc-postgres-1,0.00%,62.4MiB,2.355GiB,2.59%
1783331749,iotprojectmpc-n8n-1,3.88%,417.9MiB,2.355GiB,17.33%
1783331749,iotprojectmpc-postgres-1,0.23%,62.36MiB,2.355GiB,2.59%
1783331754,iotprojectmpc-n8n-1,2.35%,417.9MiB,2.355GiB,17.33%
1783331754,iotprojectmpc-postgres-1,0.05%,60.61MiB,2.355GiB,2.51%
1783331758,iotprojectmpc-n8n-1,6.09%,418.1MiB,2.355GiB,17.34%
1783331758,iotprojectmpc-postgres-1,0.02%,60.62MiB,2.355GiB,2.51%
1783331762,iotprojectmpc-n8n-1,4.62%,417.7MiB,2.355GiB,17.32%
1783331762,iotprojectmpc-postgres-1,0.00%,60.61MiB,2.355GiB,2.51%
1783331767,iotprojectmpc-n8n-1,3.00%,418MiB,2.355GiB,17.34%
1783331767,iotprojectmpc-postgres-1,0.00%,62.37MiB,2.355GiB,2.59%
1783331770,iotprojectmpc-n8n-1,0.81%,417.8MiB,2.355GiB,17.33%
1783331770,iotprojectmpc-postgres-1,0.02%,62.37MiB,2.355GiB,2.59%
1783331775,iotprojectmpc-n8n-1,2.47%,417.8MiB,2.355GiB,17.33%
1783331775,iotprojectmpc-postgres-1,0.02%,60.61MiB,2.355GiB,2.51%
1783331778,iotprojectmpc-n8n-1,4.56%,417.8MiB,2.355GiB,17.33%
1783331778,iotprojectmpc-postgres-1,0.02%,60.61MiB,2.355GiB,2.51%
1783331783,iotprojectmpc-n8n-1,9.34%,418.3MiB,2.355GiB,17.35%
1783331783,iotprojectmpc-postgres-1,0.00%,60.61MiB,2.355GiB,2.51%
1783331787,iotprojectmpc-n8n-1,2.29%,418MiB,2.355GiB,17.34%
1783331787,iotprojectmpc-postgres-1,0.00%,60.62MiB,2.355GiB,2.51%
1783331791,iotprojectmpc-n8n-1,0.32%,418MiB,2.355GiB,17.34%
1783331791,iotprojectmpc-postgres-1,3.07%,60.61MiB,2.355GiB,2.51%
1783331796,iotprojectmpc-n8n-1,2.28%,418.7MiB,2.355GiB,17.37%
1783331796,iotprojectmpc-postgres-1,0.20%,60.86MiB,2.355GiB,2.52%
1783331800,iotprojectmpc-n8n-1,4.58%,420.5MiB,2.355GiB,17.44%
1783331800,iotprojectmpc-postgres-1,0.20%,62.36MiB,2.355GiB,2.59%
