ts,container,cpu_perc,mem_used,mem_limit,mem_perc
1783374282,iotprojectmpc-postgres-1,0.02%,34.45MiB,2.355GiB,1.43%
1783374287,iotprojectmpc-n8n-1,4.62%,421.2MiB,2.355GiB,17.47%
1783374287,iotprojectmpc-postgres-1,1.72%,34.47MiB,2.355GiB,1.43%
1783374292,iotprojectmpc-n8n-1,1.67%,420.9MiB,2.355GiB,17.46%
1783374292,iotprojectmpc-postgres-1,1.85%,32.71MiB,2.355GiB,1.36%
1783374295,iotprojectmpc-n8n-1,8.16%,421.8MiB,2.355GiB,17.49%
1783374295,iotprojectmpc-postgres-1,0.09%,32.71MiB,2.355GiB,1.36%
1783374300,iotprojectmpc-n8n-1,0.29%,422.1MiB,2.355GiB,17.50%
1783374300,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374304,iotprojectmpc-n8n-1,0.55%,422.1MiB,2.355GiB,17.51%
1783374304,iotprojectmpc-postgres-1,0.00%,32.82MiB,2.355GiB,1.36%
1783374309,iotprojectmpc-n8n-1,0.49%,422.3MiB,2.355GiB,17.52%
1783374309,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374313,iotprojectmpc-n8n-1,1.21%,422.4MiB,2.355GiB,17.52%
1783374313,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374318,iotprojectmpc-n8n-1,1.19%,422.3MiB,2.355GiB,17.51%
1783374318,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374323,iotprojectmpc-n8n-1,1.24%,422.2MiB,2.355GiB,17.51%
1783374323,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374327,iotprojectmpc-n8n-1,0.95%,422.3MiB,2.355GiB,17.51%
1783374327,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374332,iotprojectmpc-n8n-1,2.27%,421.2MiB,2.355GiB,17.47%
1783374332,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374336,iotprojectmpc-n8n-1,1.90%,421.3MiB,2.355GiB,17.47%
1783374336,iotprojectmpc-postgres-1,0.01%,32.71MiB,2.355GiB,1.36%
1783374341,iotprojectmpc-n8n-1,1.14%,421.5MiB,2.355GiB,17.48%
1783374341,iotprojectmpc-postgres-1,0.01%,32.71MiB,2.355GiB,1.36%
1783374345,iotprojectmpc-n8n-1,1.20%,421.3MiB,2.355GiB,17.47%
1783374345,iotprojectmpc-postgres-1,0.02%,32.71MiB,2.355GiB,1.36%
1783374350,iotprojectmpc-n8n-1,1.25%,421.3MiB,2.355GiB,17.47%
1783374350,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374355,iotprojectmpc-n8n-1,2.11%,421.3MiB,2.355GiB,17.47%
1783374355,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374359,iotprojectmpc-n8n-1,0.90%,421.3MiB,2.355GiB,17.47%
1783374359,iotprojectmpc-postgres-1,0.00%,32.76MiB,2.355GiB,1.36%
1783374364,iotprojectmpc-n8n-1,0.22%,421.5MiB,2.355GiB,17.48%
1783374364,iotprojectmpc-postgres-1,0.78%,32.71MiB,2.355GiB,1.36%
1783374368,iotprojectmpc-n8n-1,0.47%,421.3MiB,2.355GiB,17.47%
1783374368,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374373,iotprojectmpc-n8n-1,0.44%,421.6MiB,2.355GiB,17.48%
1783374373,iotprojectmpc-postgres-1,2.50%,32.71MiB,2.355GiB,1.36%
1783374378,iotprojectmpc-n8n-1,0.43%,421.6MiB,2.355GiB,17.48%
1783374378,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374382,iotprojectmpc-n8n-1,0.39%,421.3MiB,2.355GiB,17.47%
1783374382,iotprojectmpc-postgres-1,1.90%,32.71MiB,2.355GiB,1.36%
1783374387,iotprojectmpc-n8n-1,1.03%,421.6MiB,2.355GiB,17.48%
1783374387,iotprojectmpc-postgres-1,1.84%,32.84MiB,2.355GiB,1.36%
1783374391,iotprojectmpc-n8n-1,0.42%,421.4MiB,2.355GiB,17.48%
1783374391,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374396,iotprojectmpc-n8n-1,0.16%,421.5MiB,2.355GiB,17.48%
1783374396,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374400,iotprojectmpc-n8n-1,0.20%,421.6MiB,2.355GiB,17.48%
1783374400,iotprojectmpc-postgres-1,0.00%,32.71MiB,2.355GiB,1.36%
1783374405,iotprojectmpc-n8n-1,1.20%,421.6MiB,2.355GiB,17.49%
1783374405,iotprojectmpc-postgres-1,0.01%,32.71MiB,2.355GiB,1.36%
1783374410,iotprojectmpc-n8n-1,0.46%,422.1MiB,2.355GiB,17.51%
1783374410,iotprojectmpc-postgres-1,0.92%,34.46MiB,2.355GiB,1.43%
1783374414,iotprojectmpc-n8n-1,1.46%,422.1MiB,2.355GiB,17.51%
1783374414,iotprojectmpc-postgres-1,0.11%,34.45MiB,2.355GiB,1.43%
1783374419,iotprojectmpc-n8n-1,2.20%,422.3MiB,2.355GiB,17.52%
1783374419,iotprojectmpc-postgres-1,0.47%,32.71MiB,2.355GiB,1.36%
1783374423,iotprojectmpc-n8n-1,1.16%,422.6MiB,2.355GiB,17.53%
1783374423,iotprojectmpc-postgres-1,2.50%,34.46MiB,2.355GiB,1.43%
1783374428,iotprojectmpc-n8n-1,1.22%,423MiB,2.355GiB,17.55%
1783374428,iotprojectmpc-postgres-1,2.25%,34.45MiB,2.355GiB,1.43%
1783374433,iotprojectmpc-n8n-1,1.14%,423.4MiB,2.355GiB,17.56%
1783374433,iotprojectmpc-postgres-1,0.00%,34.45MiB,2.355GiB,1.43%
1783374437,iotprojectmpc-n8n-1,0.40%,423.1MiB,2.355GiB,17.55%
1783374437,iotprojectmpc-postgres-1,0.02%,32.71MiB,2.355GiB,1.36%
1783374441,iotprojectmpc-n8n-1,0.55%,423.7MiB,2.355GiB,17.57%
1783374441,iotprojectmpc-postgres-1,0.02%,32.71MiB,2.355GiB,1.36%
1783374444,iotprojectmpc-n8n-1,12.79%,424.5MiB,2.355GiB,17.60%
1783374444,iotprojectmpc-postgres-1,0.03%,32.71MiB,2.355GiB,1.36%
1783374449,iotprojectmpc-n8n-1,39.72%,425.9MiB,2.355GiB,17.66%
1783374449,iotprojectmpc-postgres-1,0.99%,34.45MiB,2.355GiB,1.43%
1783374452,iotprojectmpc-n8n-1,3.76%,424.7MiB,2.355GiB,17.62%
1783374452,iotprojectmpc-postgres-1,0.00%,34.45MiB,2.355GiB,1.43%
1783374457,iotprojectmpc-n8n-1,2.11%,424.7MiB,2.355GiB,17.62%
1783374457,iotprojectmpc-postgres-1,2.06%,34.46MiB,2.355GiB,1.43%
1783374462,iotprojectmpc-n8n-1,0.79%,424.7MiB,2.355GiB,17.61%
1783374462,iotprojectmpc-postgres-1,0.02%,32.71MiB,2.355GiB,1.36%
1783374465,iotprojectmpc-n8n-1,1.24%,424.7MiB,2.355GiB,17.61%
1783374465,iotprojectmpc-postgres-1,0.43%,32.74MiB,2.355GiB,1.36%
1783374470,iotprojectmpc-n8n-1,0.48%,424.6MiB,2.355GiB,17.61%
1783374470,iotprojectmpc-postgres-1,0.03%,32.71MiB,2.355GiB,1.36%
1783374474,iotprojectmpc-n8n-1,2.51%,424.6MiB,2.355GiB,17.61%
1783374474,iotprojectmpc-postgres-1,0.97%,34.49MiB,2.355GiB,1.43%
1783374479,iotprojectmpc-n8n-1,2.52%,425.2MiB,2.355GiB,17.63%
1783374479,iotprojectmpc-postgres-1,1.55%,34.45MiB,2.355GiB,1.43%
